Date,place,Cured,Deaths,Confirmed
13/04/20,Andaman and Nicobar Islands,10,0,11
13/04/20,Arunachal Pradesh,0,0,1
13/04/20,Assam,0,1,31
13/04/20,Bihar,26,1,64
13/04/20,Chandigarh,7,0,21
13/04/20,Chhattisgarh,10,0,31
13/04/20,Delhi,27,24,1154
13/04/20,Goa,5,0,7
13/04/20,Gujarat,47,26,539
13/04/20,Haryana,29,3,185
13/04/20,Himachal Pradesh,13,1,32
13/04/20,Jammu and Kashmir,6,4,245
13/04/20,Jharkhand,0,2,19
13/04/20,Karnataka,59,6,247
13/04/20,Kerala,179,3,376
13/04/20,Ladakh,10,0,15
13/04/20,Madhya Pradesh,44,43,604
13/04/20,Maharashtra,217,149,1985
13/04/20,Manipur,1,0,2
13/04/20,Mizoram,0,0,1
13/04/20,Nagaland,0,0,1
13/04/20,Odisha,12,1,54
13/04/20,Puducherry,1,0,7
13/04/20,Punjab,14,11,167
13/04/20,Rajasthan,21,3,812
13/04/20,Tamil Nadu,50,11,1075
13/04/20,Telengana,100,16,562
13/04/20,Tripura,0,0,2
13/04/20,Uttarakhand,5,0,35
13/04/20,Uttar Pradesh,47,5,483
13/04/20,West Bengal,29,7,152
14/04/20,Andhra Pradesh,14,9,473
14/04/20,Andaman and Nicobar Islands,10,0,11
14/04/20,Arunachal Pradesh,0,0,1
14/04/20,Assam,0,1,31
14/04/20,Bihar,26,1,66
14/04/20,Chandigarh,7,0,21
14/04/20,Chhattisgarh,10,0,31
14/04/20,Delhi,30,28,1510
14/04/20,Goa,5,0,7
14/04/20,Gujarat,55,26,617
14/04/20,Haryana,34,3,199
14/04/20,Himachal Pradesh,13,1,32
14/04/20,Jammu and Kashmir,16,4,270
14/04/20,Jharkhand,0,2,24
14/04/20,Karnataka,65,9,258
14/04/20,Kerala,198,3,379
14/04/20,Ladakh,10,0,15
14/04/20,Madhya Pradesh,51,50,730
14/04/20,Maharashtra,229,160,2337
14/04/20,Manipur,1,0,2
14/04/20,Meghalaya,0,0,1
14/04/20,Mizoram,0,0,1
14/04/20,Nagaland,0,0,1
14/04/20,Odisha,18,1,55
14/04/20,Puducherry,1,0,7
14/04/20,Punjab,14,12,176
14/04/20,Rajasthan,133,3,879
14/04/20,Tamil Nadu,58,11,1173
14/04/20,Telengana,100,17,624
14/04/20,Tripura,0,0,2
14/04/20,Uttarakhand,7,0,35
14/04/20,Uttar Pradesh,49,5,657
14/04/20,West Bengal,36,7,190
15/04/20,Andaman and Nicobar Islands,10,0,11
15/04/20,Andhra Pradesh,16,9,503
15/04/20,Arunachal Pradesh,0,0,1
15/04/20,Assam,0,1,33
15/04/20,Bihar,29,1,70
15/04/20,Chandigarh,7,0,21
15/04/20,Chhattisgarh,13,0,33
15/04/20,Delhi,30,30,1561
15/04/20,Goa,5,0,7
15/04/20,Gujarat,59,30,695
15/04/20,Haryana,34,3,199
15/04/20,Himachal Pradesh,13,1,33
15/04/20,Jammu and Kashmir,30,4,278
15/04/20,Jharkhand,0,2,27
15/04/20,Karnataka,75,11,277
15/04/20,Kerala,211,3,387
15/04/20,Ladakh,10,0,17
15/04/20,Madhya Pradesh,64,53,987
15/04/20,Maharashtra,259,178,2687
15/04/20,Manipur,1,0,2
15/04/20,Meghalaya,0,1,7
15/04/20,Mizoram,0,0,1
15/04/20,Nagaland,0,0,0
15/04/20,Odisha,18,1,60
15/04/20,Puducherry,1,0,7
15/04/20,Punjab,14,13,186
15/04/20,Rajasthan,147,3,1005
15/04/20,Tamil Nadu,81,12,1204
15/04/20,Telengana,120,18,647
15/04/20,Tripura,0,0,2
15/04/20,Uttarakhand,9,0,37
15/04/20,Uttar Pradesh,51,11,735
15/04/20,West Bengal,37,7,213
16/04/20,Andaman and Nicobar Islands,10,0,11
16/04/20,Andhra Pradesh,20,14,534
16/04/20,Arunachal Pradesh,0,0,1
16/04/20,Assam,5,1,33
16/04/20,Bihar,29,1,74
16/04/20,Chandigarh,7,0,21
16/04/20,Chhattisgarh,17,0,33
16/04/20,Delhi,42,32,1578
16/04/20,Goa,5,0,7
16/04/20,Gujarat,64,36,871
16/04/20,Haryana,43,3,205
16/04/20,Himachal Pradesh,16,1,35
16/04/20,Jammu and Kashmir,36,4,300
16/04/20,Jharkhand,0,2,28
16/04/20,Karnataka,82,13,315
16/04/20,Kerala,218,3,388
16/04/20,Ladakh,10,0,17
16/04/20,Madhya Pradesh,64,53,1120
16/04/20,Maharashtra,295,187,2919
16/04/20,Manipur,1,0,2
16/04/20,Meghalaya,0,1,7
16/04/20,Mizoram,0,0,1
16/04/20,Nagaland,0,0,0
16/04/20,Odisha,18,1,60
16/04/20,Puducherry,1,0,7
16/04/20,Punjab,27,13,186
16/04/20,Rajasthan,147,3,1023
16/04/20,Tamil Nadu,118,14,1242
16/04/20,Telengana,120,18,698
16/04/20,Tripura,1,0,2
16/04/20,Uttarakhand,9,0,37
16/04/20,Uttar Pradesh,68,13,773
16/04/20,West Bengal,42,7,231
17/04/20,Andaman and Nicobar Islands,10,0,11
17/04/20,Andhra Pradesh,36,14,572
17/04/20,Arunachal Pradesh,0,0,1
17/04/20,Assam,5,1,35
17/04/20,Bihar,37,1,83
17/04/20,Chandigarh,9,0,21
17/04/20,Chhattisgarh,23,0,36
17/04/20,Delhi,51,38,1640
17/04/20,Goa,6,0,7
17/04/20,Gujarat,74,38,1021
17/04/20,Haryana,43,3,205
17/04/20,Himachal Pradesh,16,1,35
17/04/20,Jammu and Kashmir,38,4,314
17/04/20,Jharkhand,0,2,29
17/04/20,Karnataka,82,13,353
17/04/20,Kerala,245,3,395
17/04/20,Ladakh,14,0,18
17/04/20,Madhya Pradesh,65,57,1308
17/04/20,Maharashtra,300,194,3205
17/04/20,Manipur,1,0,2
17/04/20,Meghalaya,0,1,9
17/04/20,Mizoram,0,0,1
17/04/20,Nagaland,0,0,0
17/04/20,Odisha,19,1,60
17/04/20,Puducherry,1,0,7
17/04/20,Punjab,27,13,186
17/04/20,Rajasthan,164,11,1131
17/04/20,Tamil Nadu,180,15,1267
17/04/20,Telengana,186,18,743
17/04/20,Tripura,1,0,2
17/04/20,Uttarakhand,9,0,37
17/04/20,Uttar Pradesh,74,14,846
17/04/20,West Bengal,51,10,255
18/04/20,Andaman and Nicobar Islands,11,0,12
